"name","type","command"
"Lead 24","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+24&company=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-24"
"Lead 24","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+24&company=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-24&date=2026-05-23"
"Lead 24","payment_invoice","npm run payment:invoice -- --buyer=""Lead 24"" --company=""컨설턴트"" --offer=workfix --use-case=""고객 메일/후속 연락 초안 반복"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-24 --out=outreach/generated"
"Lead 24","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 24"" --ref=B30-WORKFIX-20260523-24 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 24","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 13","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+13&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-13"
"Lead 13","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+13&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-13&date=2026-05-23"
"Lead 13","payment_invoice","npm run payment:invoice -- --buyer=""Lead 13"" --company=""에이전시"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-13 --out=outreach/generated"
"Lead 13","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 13"" --ref=B30-WORKFIX-20260523-13 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 13","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 15","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+15&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-15"
"Lead 15","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+15&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-15&date=2026-05-23"
"Lead 15","payment_invoice","npm run payment:invoice -- --buyer=""Lead 15"" --company=""에이전시"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-15 --out=outreach/generated"
"Lead 15","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 15"" --ref=B30-WORKFIX-20260523-15 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 15","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 19","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+19&company=%EC%B0%BD%EC%97%85%EC%9E%90&useCase=%EB%B0%98%EB%B3%B5+%EC%97%85%EB%AC%B4+%ED%95%98%EB%82%98%EB%A5%BC+%EB%8F%84%EA%B5%AC%ED%99%94%ED%95%98%EB%8A%94+%EC%9E%91%EC%97%85&ref=B30-WORKFIX-20260523-19"
"Lead 19","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+19&company=%EC%B0%BD%EC%97%85%EC%9E%90&useCase=%EB%B0%98%EB%B3%B5+%EC%97%85%EB%AC%B4+%ED%95%98%EB%82%98%EB%A5%BC+%EB%8F%84%EA%B5%AC%ED%99%94%ED%95%98%EB%8A%94+%EC%9E%91%EC%97%85&ref=B30-WORKFIX-20260523-19&date=2026-05-23"
"Lead 19","payment_invoice","npm run payment:invoice -- --buyer=""Lead 19"" --company=""창업자"" --offer=workfix --use-case=""반복 업무 하나를 도구화하는 작업"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-19 --out=outreach/generated"
"Lead 19","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 19"" --ref=B30-WORKFIX-20260523-19 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 19","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 23","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+23&company=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-23"
"Lead 23","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+23&company=%EC%BB%A8%EC%84%A4%ED%84%B4%ED%8A%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-23&date=2026-05-23"
"Lead 23","payment_invoice","npm run payment:invoice -- --buyer=""Lead 23"" --company=""컨설턴트"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-23 --out=outreach/generated"
"Lead 23","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 23"" --ref=B30-WORKFIX-20260523-23 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 23","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
